"Производитель 
(Название 
На русском/английском языке, 
или ID) ","Страна происхождения товара 
(2-х буквенный код)","Бренд
(Название 
На русском/английском языке, 
или ID) ","Серия
(Название 
На русском/английском языке, 
или ID) ",Артикул производителя,Наш артикул,Наименование,Штрихкод(ы),Категория (название категории, или ID),"Категория
(Название подкатегории, или ID, или несколько названий/ID через запятую )","Масса нетто
(число+килограмм)","Масса брутто
(число+килограмм)","Длина 
Упаковки
(число+см)","Ширина упаковки
(число+см)","Высота 
Упаковки
(число+см)","Цена 
(число+руб)","Фото 
(ссылка)","Цена 
Под заказ (руб)",,
BIBI,CH,BIBI,Пустышки BIBI,05.077.07-36,,БИБИ Пустышка силик.ортодон. дневная Рак, с 1-го  дня тв/уп №1,,637,,1,1,1,1,1,,,191,25,
BIBI,CH,BIBI,Пустышки BIBI,05.077.03-36,,БИБИ Пустышка силик.ортодон. дневная Рыбы, с 1-го  дня тв/уп №1,,637,,1,1,1,1,1,,,191,25,
BIBI,CH,BIBI,Пустышки BIBI,108088,,БИБИ Пустышка Вишня силик. дневная Mama с 1-го  дня тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108089,,БИБИ Пустышка Вишня силик. дневная Mama с 6 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108127,,БИБИ Пустышка Вишня силик. дневная Papa с 6 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,107256/02.090.40,,БИБИ Пустышка Вишня силик. дневная Сезонная коллекция с 1-го  дня тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,104285/02.043-40,,БИБИ Пустышка Вишня силик. дневная Я ЛЮБЛЮ РОССИЮ с 1-го  дня тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,104286/02.143-40,,БИБИ Пустышка Вишня силик. дневная Я ЛЮБЛЮ РОССИЮ с 6 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108098,,БИБИ Пустышка Вишня силик. ночная Mama с 1-го  дня тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108101,,БИБИ Пустышка Вишня силик. ночная Mama с 6 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108178,,БИБИ Пустышка Вишня силик. ночная Papa с 1-го  дня тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108179,,БИБИ Пустышка Вишня силик. ночная Papa с 6 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,100056/02.391.40,,БИБИ Пустышка Вишня силик. ночная ПАПА/MAMA с 1-го  дня тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108103,,БИБИ Пустышка латек.ортодон. дневная Mama с 1-го дня тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108181,,БИБИ Пустышка латек.ортодон. дневная Papa с 1-го дня тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,103565/05.750-40,,БИБИ Пустышка латек.ортодон. дневная Веселые друзья с 12 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,103566/05.600-40,,БИБИ Пустышка латек.ортодон. дневная ПАПА/MAMA с  0-11 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,05.700-40,,БИБИ Пустышка латек.ортодон. дневная ПАПА/МАМА с 12 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,103564/05.650-40,,БИБИ Пустышка латек.ортодон. дневная Сезонная коллекция с  0-11 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,07.600-40,,БИБИ Пустышка латек.ортодон. ночная ПАПА/MAMA с 0-11 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,103595/07.700-40,,БИБИ Пустышка латек.ортодон. ночная ПАПА/МАМА с 12 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,110317,,"БИБИ Пустышка ортодонтическая силикон дневная с 1 дня тв/уп №1 (""Я люблю Россию"")",,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,110347,,"БИБИ Пустышка ортодонтическая силикон дневная с 6 мес. тв/уп №1 (""Я люблю Россию"")",,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108045,,БИБИ Пустышка силик.ортодон. дневная Boy с 12 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108037,,БИБИ Пустышка силик.ортодон. дневная Boy с 6 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108033,,БИБИ Пустышка силик.ортодон. дневная Girl с 1-го  дня тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108094,,БИБИ Пустышка силик.ортодон. дневная Mama с 6 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108047,,БИБИ Пустышка силик.ортодон. дневная Star с 12 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108035,,БИБИ Пустышка силик.ортодон. дневная Star с 1-го  дня тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,107585,,БИБИ Пустышка силик.ортодон. дневная Мама/Папа/Gold с 6мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,107581,,БИБИ Пустышка силик.ортодон. дневная Мама/Папа/Silver с 12мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,107575,,БИБИ Пустышка силик.ортодон. дневная Мама/Папа/Silver с 1-го  дня тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,107580,,БИБИ Пустышка силик.ортодон. дневная Мама/Папа/Silver с 6мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,100294/05.191.40,,БИБИ Пустышка силик.ортодон. дневная ПАПА/МАМА с 6 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,07.191.40,,БИБИ Пустышка силик.ортодон. ночная  ПАПА/ МАМА  с 6 мес. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108962,,БИБИ Пустышка силик.ортодон. ночная с 12 мес. светящ. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Пустышки BIBI,108961,,БИБИ Пустышка силик.ортодон. ночная с 6 мес. светящ. тв/уп №1,,637,,1,1,1,1,1,,,189,80,,
BIBI,CH,BIBI,Соски BIBI,01.830.40,,БИБИ Соска  силик.ортодон. д/молока тв/уп №2,,637,,1,1,1,1,1,,,132,60,,
BIBI,CH,BIBI,Соски BIBI,103571/01.897-40,,БИБИ Соска Вишня силик. д/бут 3.2.1, регул. поток с 1-го дня тв/уп №2,,637,,1,1,1,1,1,,,130,0,
BIBI,CH,BIBI,Соски BIBI,100028/01.895.40,,БИБИ Соска Вишня силик. д/бут 3.2.1, регул. поток с 5-ти мес.тв/уп №2,,637,,1,1,1,1,1,,,130,0,
BIBI,CH,BIBI,Соски BIBI,103575/01.871-40,,БИБИ Соска Вишня силик. д/бут шир. горл. 3.2.1, регул. поток тв/уп №2,,637,,1,1,1,1,1,,,185,90,
BIBI,CH,BIBI,Соски BIBI,01.810-40,,БИБИ Соска-непроливайка силик.ортодон. д/молока тв/уп №2,,637,,1,1,1,1,1,,,171,60,,
BIBI,CH,BIBI,Соски BIBI,01.805-40,,БИБИ Соска-непроливайка силик.ортодон. д/чая,сока,воды тв/уп №2,,637,,1,1,1,1,1,,,171,60
Бюбхен,DE,Бюбхен,Babus First (с первых дней жизни),122 16422,,Бюбхен Babus First Гель д/умывания и купания  С первых дней жизни 200мл,,637,,1,1,1,1,1,,,245,23,,
Бюбхен,DE,Бюбхен,Babus First (с первых дней жизни),122 16434,,Бюбхен Babus First Крем защитный под подгузник С первых дней жизни 75мл,,637,,1,1,1,1,1,,,161,87,,
Бюбхен,DE,Бюбхен,Babus First (с первых дней жизни),122 16421,,Бюбхен Babus First Молочко д/ухода за кожей С первых дней жизни 200мл,,637,,1,1,1,1,1,,,194,5,,
Бюбхен,DE,Бюбхен,Для беременных и кормящих матерей,121 56862,,Бюбхен Крем -гель для душа Мама 200 мл.,,637,,1,1,1,1,1,,,237,55,,
Бюбхен,DE,Бюбхен,Для беременных и кормящих матерей,122 45229,,Бюбхен Крем -гель для душа Мама 230 мл.,,637,,1,1,1,1,1,,,242,71,,
Бюбхен,DE,Бюбхен,Для беременных и кормящих матерей,122 00713,,Бюбхен Крем -масло Блаженство для массажа д/беременных и корм.матерей,,637,,1,1,1,1,1,,,237,55,,
Бюбхен,DE,Бюбхен,Для беременных и кормящих матерей,121 56863/122 45240,,Бюбхен Молочко МАМА, 200 мл.,,637,,1,1,1,1,1,,,237,55,
Бюбхен,DE,Бюбхен,Календула,121 76926,,Бюбхен Календула Крем для интенсив.ухода БИО 50 мл. с рожден.,,637,,1,1,1,1,1,,,164,16,,
Бюбхен,DE,Бюбхен,Календула,118 11408,,Бюбхен Календула Крем по уходу за лицом детск. 75 мл. фл. с рожден.,,637,,1,1,1,1,1,,,224,77,,
Бюбхен,DE,Бюбхен,Календула,121 15962,,Бюбхен Календула Крем спец.защитный 75 мл. фл. с рожден.,,637,,1,1,1,1,1,,,178,52,,
Бюбхен,DE,Бюбхен,Календула,121 51565,,Бюбхен Календула Молочко для ухода за кож. детск. 200 мл. фл. с рожден.,,637,,1,1,1,1,1,,,212,59,,
Бюбхен,DE,Бюбхен,Календула,122 45265,,"Бюбхен Крем-гель для мытья волос и тела ""Календула"" с рождения, 230 мл.",,637,,1,1,1,1,1,,,259,55,,
